id;s1;s1Text;s2;s2Text;s3;s3Text
368;Chick March;[Allies] Str.+5% & [Foes] Water and Wind Resist-5%;Chick March+;[Allies] Str.+10% & [Foes] Water and Wind Resist-10%;Chick March++;[Allies] Str.+15% & [Foes] Water and Wind Resist-15%
374;New Year Circle;[Self] Agi., Dex., P.Resist and M.Resist+6% & [Allies] Status Debuff-1 turn;New Year Circle+;[Self] Agi., Dex., P.Resist and M.Resist+8% & [Allies] Status Debuff-2 turns;New Year Circle++;[Self] Agi., Dex., P.Resist and M.Resist+10% & [Allies] Status Debuff-3 turns
375;Year Plan;[Allies] Mag.+5% [Foes] Critical Rate and Penetration Rate-15%;Year Plan+;[Allies] Mag.+10% [Foes] Critical Rate and Penetration Rate-20%;Year Plan++;[Allies] Mag.+15% [Foes] Critical Rate and Penetration Rate-25%
378;Swimsuit Competition;[Allies] Str. and Mag.+5% & [Foes] End., Agi. and Dex.-6%;Swimsuit Competition+;[Allies] Str. and Mag.+10% & [Foes] End., Agi. and Dex.-8%;Swimsuit Competition++;[Allies] Str. and Mag.+15% & [Foes] End., Agi. and Dex.-10%
384;Sweet Frustration;[Allies] End., Agi. and Dex.+6% & [Foes] 40% Slow;Sweet Frustration+;[Allies] End., Agi. and Dex.+8% & [Foes] 60% Slow;Sweet Frustration++;[Allies] End., Agi. and Dex.+10% & [Foes] 80% Slow
385;Neighbor's Recipe;[Allies] Str. and Mag.+5% & 5% HP Regen/turn;Neighbor's Recipe+;[Allies] Str. and Mag.+10% & 10% HP Regen/turn;Neighbor's Recipe++;[Allies] Str. and Mag.+15% & 15% HP Regen/turn
388;All-Stars;[Foes] Str., Mag. and Dark Resist-5% & [Allies] Thunder Attack Dmg.+5%;All-Stars+;[Foes] Str., Mag. and Dark Resist-10% & [Allies] Thunder Attack Dmg.+10%;All-Stars++;[Foes] Str., Mag. and Dark Resist-15% & [Allies] Thunder Attack Dmg.+15%
394;Labyrinth Journal;[Allies] Critical Rate, Penetration Rate and Counter Rate+6% & [Self] 40MP Regen/turn;Labyrinth Journal+;[Allies] Critical Rate, Penetration Rate and Counter Rate+8% & [Self] 60MP Regen/turn;Labyrinth Journal++;[Allies] Critical Rate, Penetration Rate and Counter Rate+10% & [Self] 80MP Regen/turn
395;Naming Gown;[Allies] Mag.+10% & Fire and Water Attack Dmg.+5%;Naming Gown+;[Allies] Mag.+15% & Fire and Water Attack Dmg.+10%;Naming Gown++;[Allies] Mag.+20% & Fire and Water Attack Dmg.+15%
403;Enchanting Gaze;[Foes] Heal, P.Resist, M.Resist and Thunder Resist-5%;Enchanting Gaze+;[Foes] Heal, P.Resist, M.Resist and Thunder Resist-10%;Enchanting Gaze++;[Foes] Heal, P.Resist, M.Resist and Thunder Resist-15%
404;Eastern Beauty;[Allies] Guard Rate & Counter Rate+5% and Slow Resist+50%;Eastern Beauty+;[Allies] Guard Rate & Counter Rate+10% and Slow Resist+75%;Eastern Beauty++;[Allies] Guard Rate & Counter Rate+15% and Slow Resist+100%
407;Up Up Down Down Arcanum;[Allies] Str. and End.+6%;Up Up Down Down Arcanum+;[Allies] Str. and End.+8%;Up Up Down Down Arcanum++;[Allies] Str. and End.+10%
409;Witch of Ruin;[Self] Ailment Resist+50% and Str., Mag., P.Resist and M.Resist+10%;Witch of Ruin+;[Self] Ailment Resist+75% and Str., Mag., P.Resist and M.Resist+15%;Witch of Ruin++;[Self] Ailment Resist+100% and Str., Mag., P.Resist and M.Resist+20%
413;Helping Renard;[Foes] Dmg. received (Attack Type: All and Single Targets)+5% & [Allies] 10 MP Heal/turn;Helping Renard+;[Foes] Dmg. received (Attack Type: All and Single Targets)+10% & [Allies] 15 MP Heal/turn;Helping Renard++;[Foes] Dmg. received (Attack Type: All and Single Targets)+15% & [Allies] 20 MP Heal/turn
418;Praying Maiden;[Allies] Light Attack Dmg.+10% and Str. & Mag.+5%;Praying Maiden+;[Allies] Light Attack Dmg.+15% and Str. & Mag.+10%;Praying Maiden++;[Allies] Light Attack Dmg.+20% and Str. & Mag.+15%
419;Floral Breeze;[Foes] Critical Rate & Penetration Rate-10% and [Allies] Dmg. received (Attack Type: All and Single Targets)-5%;Floral Breeze+;[Foes] Critical Rate & Penetration Rate-15% and [Allies] Dmg. received (Attack Type: All and Single Targets)-10%;Floral Breeze++;[Foes] Critical Rate & Penetration Rate-20% and [Allies] Dmg. received (Attack Type: All and Single Targets)-15%
422;Country Moment;[Allies] P.Resist and M.Resist+5% & Str., Mag. and Dex.+6%;Country Moment+;[Allies] P.Resist and M.Resist+10% & Str., Mag. and Dex.+8%;Country Moment++;[Allies] P.Resist and M.Resist+15% & Str., Mag. and Dex.+10%
428;Justice Guardian;[Allies] 10% HP Regen & 10 MP Heal/turn & Null P.Attack and M.Attack x1;Justice Guardian+;[Allies] 20% HP Regen & 15 MP Heal/turn & Null P.Attack and M.Attack x1;Justice Guardian++;[Allies] 30% HP Regen & 20 MP Heal/turn & Null P.Attack and M.Attack x1
429;Supreme Commander;[Allies] Increase S.A Gauge Charge gain by 11% & Str., Mag., Agi., End. and Dex.+6%;Supreme Commander+;[Allies] Increase S.A Gauge Charge gain by 22% & Str. & Mag.+10% & Agi., End., & Dex.+8%;Supreme Commander++;[Allies] Increase S.A Gauge Charge gain by 33% & Str. & Mag.+15% & Agi., End., & Dex.+10%
434;Dedication;[Foes] P.Resist and M.Resist-5% & [Allies] Null Ailments x1;Dedication+;[Foes] P.Resist and M.Resist-10% & [Allies] Null Ailments x2;Dedication++;[Foes] P.Resist and M.Resist-15% & [Allies] Null Ailments x3
435;Judging Eye;[Foes] Dmg. received (Attack Type: Single Target) +10% & [Allies] Dex.+5%;Judging Eye+;[Foes] Dmg. received (Attack Type: Single Target) +15% & [Allies] Dex.+10%;Judging Eye++;[Foes] Dmg. received (Attack Type: Single Target) +20% & [Allies] Dex.+15%
437;Three Tales;[Foes] Str. and Mag.-10% & [Allies] Counter Rate+6%;Three Tales+;[Foes] Str. and Mag.-15% & [Allies] Counter Rate+8%;Three Tales++;[Foes] Str. and Mag.-20% & [Allies] Counter Rate+10%
442;Rapid Roar;[Foes] Agi.-5% & [Self] Critical Rate and Penetration Rate+10%;Rapid Roar+;[Foes] Agi.-12% and [Self] Critical Rate & Penetration Rate+15%;Rapid Roar++;[Foes] Agi.-20% and [Self] Critical Rate & Penetration Rate+20%
443;Eternal Garden;[Allies] M.Resist & Counter Rate+10% & Charm Resist+50% and [Foes] Critical Rate, Penetration Rate, & Guard Rate-10%;Eternal Garden+;[Allies] M.Resist & Counter Rate+15% & Charm Resist+75% and [Foes] Critical Rate, Penetration Rate, & Guard Rate-15%;Eternal Garden ++;[Allies] M.Resist & Counter Rate+20% & Charm Resist+100% and [Foes] Critical Rate, Penetration Rate, & Guard Rate-20%
444;Ultimate Question;[Foes] Light Resist, Critical Rate, & Penetration Rate-10% and [Self] Str., Mag., Dex.+10%;Ultimate Question+;[Foes] Light Resist, Critical Rate, & Penetration Rate-15% and [Self] Str., Mag., Dex.+17%;Ultimate Question++;[Foes] Light Resist, Critical Rate, & Penetration Rate-20% and [Self] Str., Mag., Dex.+25%
452;Perfect Yukatakini Day;[Allies] Str. & Mag.+5% and Water Attack Dmg.+10%;Perfect Yukatakini Day+;[Allies] Str. & Mag.+10% and Water Attack Dmg.+15%;Perfect Yukatakini Day++;[Allies] Str. & Mag.+15% and Water Attack Dmg.+20%
453;Bouquet Color;[Allies] Mag.+10% and Light and Wind Attack Dmg.+5%;Bouquet Color+;[Allies] Mag.+15% and Light and Wind Attack Dmg.+10%;Bouquet Color++;[Allies] Mag.+20% and Light and Wind Attack Dmg.+15%
456;First Learner;[Allies] Str. & Mag.+5% & 10% HP Regen/turn and [Foes] Penetration Rate-10%;First Learner+;[Allies] Str. & Mag.+10% & 15% HP Regen/turn and [Foes] Penetration Rate-15%;First Learner++;[Allies] Str. & Mag.+15% & 20% HP Regen/turn and [Foes] Penetration Rate-20%
460;Waterside Mishap;[Allies] Str. & Critical Rate+5% and Thunder Attack Dmg.+10%;Waterside Mishap+;[Allies] Str. & Critical Rate+10% and Thunder Attack Dmg.+15%;Waterside Mishap++;[Allies] Str. & Critical Rate+15% and Thunder Attack Dmg.+20%
461;Girls-Only Expedition;[Foes] Heal-15% & Critical Rate and Counter Rate-10%;Girls-Only Expedition+;[Foes] Heal-20% & Critical Rate and Counter Rate-15%;Girls-Only Expedition++;[Foes] Heal-25% & Critical Rate and Counter Rate-20%
462;The Fisher's Duty;[Allies] Penetration Rate+6% and [Foes] Dmg. received (Attack Type: All Targets)+3%;The Fisher's Duty+;[Allies] Penetration Rate+8% and [Foes] Dmg. received (Attack Type: All Targets)+5%;The Fisher's Duty++;[Allies] Penetration Rate+10% and [Foes] Dmg. received (Attack Type: All Targets)+7%
463;One-man Operation;[Foes] Dmg. received (Attack Type: All Targets) increases by 5% & Guard Rate-15% and [Allies] Penetration Rate & Critical Rate+6%;One-man Operation+;[Foes] Dmg. received (Attack Type: All Targets) increases by 10% & Guard Rate-20% and [Allies] Penetration Rate & Critical Rate+8%;One-man Operation++;[Foes] Dmg. received (Attack Type: All Targets) increases by 15% & Guard Rate-25% and [Allies] Penetration Rate & Critical Rate+10%
469;Alluring Dance;[Self] Str. & Agi. & Dex.+10% and [Allies] Str. & Agi. & Dex.+6%;Alluring Dance+;[Self] Str. & Agi. & Dex.+15% and [Allies] Str. & Agi. & Dex.+8%;Alluring Dance++;[Self] Str. & Agi. & Dex.+20% and [Allies] Str. & Agi. & Dex.+10%
471;Divine Fate;[Allies] Fire, Water, Earth and Light Resist+10% & Heal and Guard Rate+5%;Divine Fate+;[Allies] Fire, Water, Earth and Light Resist+15% & Heal and Guard Rate+10%;Divine Fate++;[Allies] Fire, Water, Earth and Light Resist+20% & Heal and Guard Rate+15%
474;War's End;[Allies] Str. & Critical Rate+5% and Dark Attack Dmg.+10%;War's End+;[Allies] Str. & Critical Rate+10% and Dark Attack Dmg.+15%;War's End++;[Allies] Str. & Critical Rate+15% and Dark Attack Dmg.+20%
475;Moment of Respite;[Foes] Status Buff-1 turn and [Ally] 25% HP Heal. Prioritizes an Ally with lower percentage HP.;Moment of Respite+;[Foes] Status Buff-2 turns and [Ally] 50% HP Heal. Prioritizes an Ally with lower percentage HP.;Moment of Respite++;[Foes] Status Buff-3 turns and [Ally] 75% HP Heal. Prioritizes an Ally with lower percentage HP.
481;Lisped Incantation;[Foes] 15% Sleep and End., Agi., & Dex.-6%;Lisped Incantation+;[Foes] 30% Sleep and End., Agi., & Dex.-8%;Lisped Incantation++;[Foes] 45% Sleep and End., Agi., & Dex.-10%
482;Snow-White Tuxedo;[Allies] Str., Mag., & Dex.+6% and [Foes] Wind & Water Resist-6%;Snow-White Tuxedo+;[Allies] Str., Mag., & Dex.+8% and [Foes] Wind & Water Resist-8%;Snow-White Tuxedo++;[Allies] Str., Mag., & Dex.+10% and [Foes] Wind & Water Resist-10%
483;Masterful Brew;[Allies] Dmg. received (Attack Type: All and Single Targets)-5% and Water & Wind Attack Dmg.+5%;Masterful Brew+;[Allies] Dmg. received (Attack Type: All and Single Targets)-10% and Water & Wind Attack Dmg.+10%;Masterful Brew++;[Allies] Dmg. received (Attack Type: All and Single Targets)-15% and Water & Wind Attack Dmg.+15%
484;Fluttering Breeze;[Allies] Str.+5% and [Foes] Critical Rate, Penetration Rate, & Counter Rate-15%;Fluttering Breeze+;[Allies] Str.+10% and [Foes] Critical Rate, Penetration Rate, & Counter Rate-20%;Fluttering Breeze++;[Allies] Str.+15% and [Foes] Critical Rate, Penetration Rate, & Counter Rate-25%
492;Silky After-bath Skin;[Allies] Str.+10% and [Foes] Mag., End., & Dex.-5%;Silky After-bath Skin+;[Allies] Str.+15% and [Foes] Mag., End., & Dex.-10%;Silky After-bath Skin++;[Allies] Str.+20% and [Foes] Mag., End., & Dex.-15%
493;Relaxing Time;[Foes] Earth Resist, Fire Resist, and Counter Rate-5% and [Allies] Critical Rate & Penetration Rate+6%;Relaxing Time+;[Foes] Earth Resist, Fire Resist, and Counter Rate-10% and [Allies] Critical Rate & Penetration Rate+8%;Relaxing Time++;[Foes] Earth Resist, Fire Resist, and Counter Rate-15% and [Allies] Critical Rate & Penetration Rate+10%
494;Danger Zone;[Allies] Earth Dmg. & Fire Dmg.+6% and [Foes] P.Resist & M.Resist-6%;Danger Zone+;[Allies] Earth Dmg. & Fire Dmg.+8% and [Foes] P.Resist & M.Resist-8%;Danger Zone++;[Allies] Earth Dmg. & Fire Dmg.+10% and [Foes] P.Resist & M.Resist-10%
499;Vixen's Gift;[Foes] End. & Guard Rate-20% & M.Resist-10%;Vixen's Gift+;[Foes] End. & Guard Rate-25% & M.Resist-15%;Vixen's Gift++;[Foes] End. & Guard Rate-30% & M.Resist-20%
500;Wishful Feathers;[Allies] Str. & Mag.+5% and [Foes] Thunder & Light Resist-5%;Wishful Feathers+;[Allies] Str. & Mag.+7% and [Foes] Thunder & Light Resist-7%;Wishful Feathers++;[Allies] Str. & Mag.+10% and [Foes] Thunder & Light Resist-10%
501;Express Gift;[Foes] Thunder Resist-10% and [Allies] Dmg. received (Attack Type: All and Single Targets)-7%;Express Gift+;[Foes] Thunder Resist-15% and [Allies] Dmg. received (Attack Type: All and Single Targets)-10%;Express Gift++;[Foes] Thunder Resist-20% and [Allies] Dmg. received (Attack Type: All and Single Targets)-15%
503;Jester's Arrangement;[Self] Str., Agi., & Dex.+10% and [Foes] 50% Slow;Jester's Arrangement+;[Self] Str., Agi., & Dex.+15% and [Foes] 70% Slow;Jester's Arrangement++;[Self] Str., Agi., & Dex.+20% and [Foes] 90% Slow
508;Blue Bouquet;[Allies] Fire Attack Dmg.+10% and [Foes] Guard Rate & Heal-15%;Blue Bouquet+;[Allies] Fire Attack Dmg.+15% and [Foes] Guard Rate & Heal-20%;Blue Bouquet++;[Allies] Fire Attack Dmg.+20% and [Foes] Guard Rate & Heal-25%
509;Heavy Blessing;[Foes] P.Resist-10% and Mag., Dex., & End.-5%;Heavy Blessing+;[Foes] P.Resist-15% and Mag., Dex., & End.-10%;Heavy Blessing++;[Foes] P.Resist-20% and Mag., Dex., & End.-15%
510;White Haar;[Foes] Fire Resist & Water Resist-6% and End.-10%;White Haar+;[Foes] Fire Resist & Water Resist-8% and End.-15%;White Haar++;[Foes] Fire Resist & Water Resist-10% and End.-20%
513;Combing Little Divine;[Allies] 10% HP Regen/turn and M.Resist, Guard Rate, & Counter Rate+5%;Combing Little Divine+;[Allies] 20% HP Regen/turn and M.Resist, Guard Rate, & Counter Rate+10%;Combing Little Divine++;[Allies] 30% HP Regen/turn and M.Resist, Guard Rate, & Counter Rate+15%
518;Sword Dance;[Allies] Str. & End.+10% and Seal Resist & Taunt Resist+50%;Sword Dance+;[Allies] Str. & End.+15% and Seal Resist & Taunt Resist+75%;Sword Dance++;[Allies] Str. & End.+20% and Seal Resist & Taunt Resist+100%
519;Sailor Elf;[Foes] 15% Seal and Str. & Dex.-10%;Sailor Elf+;[Foes] 30% Seal and Str. & Dex.-15%;Sailor Elf++;[Foes] 45% Seal and Str. & Dex.-20%
520;Divine Regalia;[Allies] Agi.+5% and [Foes] Critical Rate & Penetration Rate-10%;Divine Regalia+;[Allies] Agi.+10% and [Foes] Critical Rate & Penetration Rate-15%;Divine Regalia++;[Allies] Agi.+15% and [Foes] Critical Rate & Penetration Rate-20%
523;Supporter OS;[Allies] Mag. & Dex.+6%;Supporter OS+;[Allies] Mag. & Dex.+8%;Supporter OS++;[Allies] Mag. & Dex.+10%
524;Full-Range Maternity;[Allies] End.+6% and 6% HP Regen/turn;Full-Range Maternity+;[Allies] End.+8% and 8% HP Regen/turn;Full-Range Maternity++;[Allies] End.+10% and 10% HP Regen/turn
528;The Hybrid;[Allies] Thunder Attack Dmg., Wind Attack Dmg., & Counter Rate+10%;The Hybrid+;[Allies] Thunder Attack Dmg., Wind Attack Dmg., & Counter Rate+15%;The Hybrid++;[Allies] Thunder Attack Dmg., Wind Attack Dmg., & Counter Rate+20%
535;Fairy Spell;[Foes] Guard Rate-15% & Dmg. received (Attack Type: Single Target)+10% and [Allies] 15 MP Regen/turn;Fairy Spell+;[Foes] Guard Rate-20% & Dmg. received (Attack Type: Single Target)+15% and [Allies] 20 MP Regen/turn;Fairy Spell++;[Foes] Guard Rate-25% & Dmg. received (Attack Type: Single Target)+20% and [Allies] 25 MP Regen/turn
536;Fairy Support;[Allies] Dark & Earth Attack Dmg.+6% and [Foes] Dmg. received (Attack Type: All Targets)+6%;Fairy Support+;[Allies] Dark & Earth Attack Dmg.+8% and [Foes] Dmg. received (Attack Type: All Targets)+8%;Fairy Support++;[Allies] Dark & Earth Attack Dmg.+10% and [Foes] Dmg. received (Attack Type: All Targets)+10%
537;Game Start;[Foes] Dark Resist-10% & Agi.-6%;Game Start+;[Foes] Dark Resist-15% & Agi.-8%;Game Start++;[Foes] Dark Resist-20% & Agi.-10%
538;Blooming Smile;[Foes] Wind Resist-10% and [Allies] Critical Rate & Penetration Rate+6%;Blooming Smile+;[Foes] Wind Resist-15% and [Allies] Critical Rate & Penetration Rate+8%;Blooming Smile++;[Foes] Wind Resist-20% and [Allies] Critical Rate & Penetration Rate+10%
546;Sanctuary Torch;[Allies] Water Attack Dmg. & Wind Attack Dmg.+5% and [Self] +1 Instant Effect (When attacked, P.Resist & M.Resist+30%/2 turns on Allies, once per turn);Sanctuary Torch+;[Allies] Water Attack Dmg. & Wind Attack Dmg.+10% and [Self] +2 Instant Effect (When attacked, P.Resist & M.Resist+30%/2 turns on Allies, once per turn);Sanctuary Torch++;[Allies] Water Attack Dmg. & Wind Attack Dmg.+15% and [Self] +3 Instant Effect (When attacked, P.Resist & M.Resist+30%/2 turns on Allies, once per turn)
547;Charming Whisper;[Foes] Dmg. received (Attack Type: All Targets)+5% & Agi. & Guard Rate & Counter Rate-5%;Charming Whisper+;[Foes] Dmg. received (Attack Type: All Targets)+12% & Agi. & Guard Rate & Counter Rate-10%;Charming Whisper++;[Foes] Dmg. received (Attack Type: All Targets)+20% & Agi. & Guard Rate & Counter Rate-15%
548;Prayer of Salvation;[Allies] Null M.Attack x1 and [Self] +1 Instant Effect (When magically attacked, 75% Null M.Attack x1 on Self, once per turn);Prayer of Salvation+;[Allies] Null M.Attack x1 and [Self] +2 Instant Effect (When magically attacked, 75% Null M.Attack x1 on Self, once per turn);Prayer of Salvation++;[Allies] Null M.Attack x2 and [Self] +3 Instant Effect (When magically attacked, 75% Null M.Attack x1 on Self, once per turn)
550;Moon's Wish;[Self] Ailment Resist+50% and Mag., End., & Agi.+10% and Guard Rate & Counter Rate+20%;Moon's Wish+;[Self] Ailment Resist+75% and Mag., End., & Agi.+15% and Guard Rate & Counter Rate+25%;Moon's Wish++;[Self] Ailment Resist+100% and Mag., End., & Agi.+20% and Guard Rate & Counter Rate+30%
555;Moonlight Whisper;[Allies] Null P.Attack x1 and [Self] +1 Instant Effect (When physically attacked, 75% Null P.Attack x1 on Self, once per turn);Moonlight Whisper+;[Allies] Null P.Attack x1 and [Self] +2 Instant Effect (When physically attacked, 75% Null P.Attack x1 on Self, once per turn);Moonlight Whisper++;[Allies] Null P.Attack x2 and [Self] +3 Instant Effect (When physically attacked, 75% Null P.Attack x1 on Self, once per turn)
556;Shining Ambrosia;[Foes] P.Resist-10% and [Allies] Critical, Penetration, & Guard Rate+5%;Shining Ambrosia+;[Foes] P.Resist-17% and [Allies] Critical, Penetration, & Guard Rate+10%;Shining Ambrosia++;[Foes] P.Resist-25% and [Allies] Critical, Penetration, & Guard Rate+15%
558;Blessing Bouquet;[Self] Increase S.A. Gauge Charge gain by 33% and Str., Mag., & Dex.+10%;Blessing Bouquet+;[Self] Increase S.A. Gauge Charge gain by 66% and Str., Mag., & Dex.+17%;Blessing Bouquet++;[Self] Increase S.A. Gauge Charge gain by 111% and Str., Mag., & Dex.+25%
560;Deceptive Scheme;[Foes] Water Resist & Guard Rate-10% and [Allies] Slow Resist+50%;Deceptive Scheme+;[Foes] Water Resist & Guard Rate-15% and [Allies] Slow Resist+75%;Deceptive Scheme++;[Foes] Water Resist & Guard Rate-20% and [Allies] Slow Resist+100%
564;Heavenly Gift;[Allies] Dmg. received (Attack Type: All and Single Targets)-5% and Null Ailment x1;Heavenly Gift+;[Allies] Dmg. received (Attack Type: All and Single Targets)-12% and Null Ailment x2;Heavenly Gift++;[Allies] Dmg. received (Attack Type: All and Single Targets)-20% and Null Ailment x3
565;Crimson Forge;[Allies] P.Resist & M.Resist+5% and [Self] +1 Instant Effect (When attacked, Str. & Mag.-40%/2 turns on Foes, once per turn);Crimson Forge+;[Allies] P.Resist & M.Resist+12% and [Self] +3 Instant Effect (When attacked, Str. & Mag.-40%/2 turns on Foes, once per turn);Crimson Forge++;[Allies] P.Resist & M.Resist+20% and [Self] +5 Instant Effect (When attacked, Str. & Mag.-40%/2 turns on Foes, once per turn)
566;Determining Eye;[Foes] M.Resist-10% and [Allies] Counter Rate & Guard Rate+10%;Determining Eye+;[Foes] M.Resist-17% and [Allies] Counter Rate & Guard Rate+15%;Determining Eye++;[Foes] M.Resist-25% and [Allies] Counter Rate & Guard Rate+20%
569;Salvation Desire;[Foes] Str., Mag., End., & Dex.-5% and [Self] +1 Instant Effect (When attacked, Guard Rate, Counter Rate & Heal+50%/1 turn on Allies, once per turn);Salvation Desire+;[Foes] Str., Mag., End., & Dex.-10% and [Self] +2 Instant Effect (When attacked, Guard Rate, Counter Rate & Heal+50%/1 turn on Allies, once per turn);Salvation Desire++;[Foes] Str., Mag., End., & Dex.-15% and [Self] +3 Instant Effect (When attacked, Guard Rate, Counter Rate & Heal+50%/1 turn on Allies, once per turn)
575;Cherished Love;[Allies] Mag.+5% and Wind & Dark Attack Dmg.+10%;Cherished Love+;[Allies] Mag.+10% and Wind & Dark Attack Dmg.+15%;Cherished Love++;[Allies] Mag.+15% and Wind & Dark Attack Dmg.+20%
576;Previous Heroine;[Allies] Fire, Thunder, Wind, & Dark Resist+10% and [Foes] Critical Rate, Penetration Rate, & Counter Rate-15%;Previous Heroine+;[Allies] Fire, Thunder, Wind, & Dark Resist+15% and [Foes] Critical Rate, Penetration Rate, & Counter Rate-20%;Previous Heroine++;[Allies] Fire, Thunder, Wind, & Dark Resist+20% and [Foes] Critical Rate, Penetration Rate, & Counter Rate-25%
583;Men and Women Are a Labyrinth;[Foes] Str., Mag., & P.Resist-5% and [Allies] Earth Attack Dmg.+10%;Men and Women Are a Labyrinth+;[Foes] Str., Mag., & P.Resist-10% and [Allies] Earth Attack Dmg.+15%;Men and Women Are a Labyrinth++;[Foes] Str., Mag., & P.Resist-15% and [Allies] Earth Attack Dmg.+20%
584;Thriving Business;[Allies] Str. & Mag.+5% and Poison Resist & Stun Resist+50% and 10% HP Regen/turn;Thriving Business+;[Allies] Str. & Mag.+10% and Poison Resist & Stun Resist+75% and 20% HP Regen/turn;Thriving Business++;[Allies] Str. & Mag.+15% and Poison Resist & Stun Resist+100% and 30% HP Regen/turn
585;Nothing More Than a God With a Pretty Face;[Foes] Thunder & Earth Resist-6% and [Allies] Thunder & Earth Attack Dmg.+6%;Nothing More Than a God with a Pretty Face+;[Foes] Thunder & Earth Resist-8% and [Allies] Thunder & Earth Attack Dmg.+8%;Nothing More Than a God with a Pretty Face++;[Foes] Thunder & Earth Resist-10% and [Allies] Thunder & Earth Attack Dmg.+10%
586;Intercepting Fist;[Allies] Str. & Dex.+10% and [Foes] Wind Resist-10%;Intercepting Fist+;[Allies] Str. & Dex.+15% and [Foes] Wind Resist-15%;Intercepting Fist++;[Allies] Str. & Dex.+20% and [Foes] Wind Resist-20%
587;Intercepting Kick;[Foes] P.Resist-10% and [Self] +2 Instant Effect (When attacked, Lo Earth P.Attack a Foe, up to twice per turn);Intercepting Kick+;[Foes] P.Resist-15% and [Self] +3 Instant Effect (When attacked, Lo Earth P.Attack a Foe, up to twice per turn);Intercepting Kick++;[Foes] P.Resist-20% and [Self] +4 Instant Effect (When attacked, Lo Earth P.Attack a Foe, up to twice per turn)
593;A Sword-wielding Savior?;[Foes] Fire Resist-10% & [Allies] Critical Rate & Counter Rate+10%;A Sword-wielding Savior?+;[Foes] Fire Resist-15% & [Allies] Critical Rate & Counter Rate+15%;A Sword-wielding Savior?++;[Foes] Fire Resist-20% & [Allies] Critical Rate & Counter Rate+20%
594;Maiden Resolution;[Allies] P.Resist & Guard Rate+10% & 10% HP Regen/turn and [Self] Agi.+10% & 20 MP Regen/turn;Maiden Resolution+;[Allies] P.Resist & Guard Rate+15% & 20% HP Regen/turn and [Self] Agi.+15% & 30 MP Regen/turn;Maiden Resolution++;[Allies] P.Resist & Guard Rate+20% & 30% HP Regen/turn and [Self] Agi.+20% & 40 MP Regen/turn
599;Magical Horsey;[Allies] Penetration Rate, Water Attack Dmg. & Fire Attack Dmg.+10%;Magical Horsey+;[Allies] Penetration Rate, Water Attack Dmg. & Fire Attack Dmg.+15%;Magical Horsey++;[Allies] Penetration Rate, Water Attack Dmg. & Fire Attack Dmg.+20%
600;L-AiZ Saint;[Foes] Str. & Mag.-10% and [Allies] Sleep Resist & Seal Resist+50%;L-AiZ Saint+;[Foes] Str. & Mag.-17% and [Allies] Sleep Resist & Seal Resist+75%;L-AiZ Saint++;[Foes] Str. & Mag.-25% and [Allies] Sleep Resist & Seal Resist+100%
603;Veltane Traumerei;[Foes] P.Resist & M.Resist-10% & Heal-20% and [Self] +2 Instant Effect (When attacked, Max HP 40% Dmg. Poison & Str., Mag., & Heal-40%/1 turn on Foes, once per turn);Veltane Traumerei+;[Foes] P.Resist & M.Resist-15% & Heal-30% and [Self] +3 Instant Effect (When attacked, Max HP 40% Dmg. Poison & Str., Mag., & Heal-40%/1 turn on Foes, once per turn);Veltane Traumerei++;[Foes] P.Resist & M.Resist-20% & Heal-40% and [Self] +4 Instant Effect (When attacked, Max HP 40% Dmg. Poison & Str., Mag., & Heal-40%/1 turn on Foes, once per turn)
604;Unfeigned Divine Word;[Foes] Status Buff-1 turn and [Self] Null P.Attack x1;Unfeigned Divine Word+;[Foes] Status Buff-2 turns and [Self] Null P.Attack x1;Unfeigned Divine Word++;[Foes] Status Buff-3 turns and [Self] Null P.Attack x2
608;Affection on the Sand;[Self] Mag. & Agi.+10% and [Allies] Agi.+5% and Charm Resist+50%;Affection on the Sand+;[Self] Mag. & Agi.+15% and [Allies] Agi.+10% and Charm Resist+75%;Affection on the Sand++;[Self] Mag. & Agi.+20% and [Allies] Agi.+15% and Charm Resist+100%
611;Oath of Royalty;[Allies] Increase S.A Gauge Charge gain by 11% and Critical Rate & Counter Rate+5% and 10 MP Regen/turn;Oath of Royalty+;[Allies] Increase S.A Gauge Charge gain by 22% and Critical Rate & Counter Rate+10% and 15 MP Regen/turn;Oath of Royalty++;[Allies] Increase S.A Gauge Charge gain by 33% and Critical Rate & Counter Rate+15% and 20 MP Regen/turn
613;Dragon Girl's Prayer;[Self] Str., P.Resist, M.Resist, Light and Dark Attack Dmg.+10%;Dragon Girl's Prayer+;[Self] Str.+17% & P.Resist, M.Resist, Light and Dark Attack Dmg.+15%;Dragon Girl's Prayer++;[Self] Str.+25% & P.Resist, M.Resist, Light and Dark Attack Dmg.+20%
620;Drawing from the Heart!;[Allies] Dmg. received (Attack Type: All and Single Targets)-5%;Drawing from the Heart!+;[Allies] Dmg. received (Attack Type: All and Single Targets)-10%;Drawing from the Heart!++;[Allies] Dmg. received (Attack Type: All and Single Targets)-15%
